sku,sales-channel,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-22,2020-02-23,2020-02-18,2020-01-19,2020-01-20,2020-01-21,2020-01-26,2020-01-27,2020-01-30,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-09,2020-02-11,2020-02-12,2020-02-15,2020-02-17,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-01-23,2020-01-24,2020-01-25,2020-01-28,2020-01-31,2020-02-08,2020-02-10,2020-02-01,2020-02-14,2020-01-29,2020-02-13,2020-02-19,2020-02-22,2020-03-03,2020-02-16
7E-XSVA-W6F2,"SI Prod IT Marketplace",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9A-3MHZ-B8VX,Amazon.fr,0,2,1,0,1,1,2,0,0,0,1,1,1,1,2,1,2,3,3,2,1,1,1,2,1,5,3,2,1,1,3,5,8,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9A-3MHZ-B8VX,Amazon.it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9A-3MHZ-B8VX,Non-Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9A-3MHZ-B8VX,"SI UK Prod Marketplace",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9A-3MHZ-B8VX,Amazon.es,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9A-3MHZ-B8VX,Amazon.co.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9A-3MHZ-B8VX,"SI Prod ES Marketplace",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9A-3MHZ-B8VX,Amazon.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9A-3MHZ-B8VX,"SI Prod IT Marketplace",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD-8PZV-MI59,Amazon.fr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CD-8PZV-MI59,Amazon.it,2,1,0,1,1,1,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CD-8PZV-MI59,Non-Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0
CD-8PZV-MI59,"SI UK Prod Marketplace",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CD-8PZV-MI59,Amazon.es,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
CD-8PZV-MI59,Amazon.co.uk,5,13,0,3,0,0,1,0,0,0,1,1,1,3,1,0,0,3,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0
